,movieID,movieName,movieRelease,movieRating
338,350082,Amerika,2015-10-22,0.0
339,397919,Rammstein: In Amerika - Live from Madison Square Garden,2010-12-11,8.067
340,626279,Eddy Wally in Amerika,2005-08-01,0.0
341,366610,"Amérika, terra incógnita",1988-11-04,5.5
342,326561,A$$untina das Amérikas,1976-01-01,4.8
343,254964,Jean-Marie Straub und Danièle Huillet bei der Arbeit an einem Film nach Franz Kafkas Romanfragment Amerika,1983-11-13,5.0
344,11222,Der amerikanische Freund,1977-06-24,7.16
345,421247,Πλατεία Αμερικής,2016-10-11,5.6
346,361631,Rammstein in Amerika,2015-09-25,8.2
347,10408,Flodder in Amerika!,1992-06-03,5.7
348,702557,Vores mand i Amerika,2020-08-13,6.2
349,700467,Aμερικάνος,1999-11-13,0.0
350,299641,Jimmy Vestvood: Amerikan Hero,2016-03-13,5.4
351,12831,Amerikana,2001-05-15,6.0
352,40360,Valami Amerika,2002-01-31,6.093
